epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.6729,0.30808,2.23094,1.00197,0.30869,0.80437,0.4582,0.45746,0.16892,1.45794,0.24043,0.000415677,0.000415677,0.000415677
2,180.304,0.22457,1.59559,0.93826,0.29179,0.7124,0.48357,0.44915,0.29626,2.03221,0.28591,0.000815863,0.000815863,0.000815863
3,259.391,0.21107,1.46337,0.93641,0.36978,0.87358,0.52505,0.52406,0.1843,1.23445,0.21617,0.00119955,0.00119955,0.00119955
4,333.308,0.19398,1.37431,0.92605,0.41859,0.93015,0.53863,0.53263,0.2295,1.16954,0.21561,0.00117575,0.00117575,0.00117575
5,409.5,0.18579,1.29743,0.91353,0.45361,0.93847,0.53654,0.52253,0.34221,1.08088,0.31127,0.001151,0.001151,0.001151
6,507.28,0.16954,1.25307,0.91496,0.41026,0.96649,0.57415,0.5698,0.25692,1.06993,0.25684,0.00112625,0.00112625,0.00112625
7,585.639,0.15899,1.23494,0.91062,0.45577,0.93932,0.56597,0.55451,0.25279,0.98543,0.24156,0.0011015,0.0011015,0.0011015
8,657.059,0.15656,1.19205,0.90497,0.45876,0.9156,0.55725,0.53944,0.22205,1.05192,0.21843,0.00107675,0.00107675,0.00107675
9,738.44,0.1464,1.16113,0.9057,0.44218,0.91912,0.61152,0.60555,0.22199,0.99357,0.21349,0.001052,0.001052,0.001052
10,816.188,0.14001,1.13031,0.90759,0.43325,0.95588,0.59066,0.58231,0.18474,1.0375,0.18712,0.00102725,0.00102725,0.00102725
11,887.139,0.12769,1.13356,0.90087,0.48952,0.91387,0.66441,0.63996,0.20695,0.90738,0.21119,0.0010025,0.0010025,0.0010025
12,962.547,0.12002,1.12517,0.90622,0.51527,0.93574,0.71228,0.71228,0.14568,0.90994,0.17197,0.00097775,0.00097775,0.00097775
13,1036.12,0.1188,1.08848,0.90671,0.41091,0.92621,0.65978,0.61726,0.31506,1.16314,0.25916,0.000953,0.000953,0.000953
14,1115.21,0.11642,1.07143,0.90537,0.51791,0.87847,0.69719,0.66489,0.25547,0.88709,0.23714,0.00092825,0.00092825,0.00092825
15,1191.75,0.11813,1.08977,0.90393,0.59266,0.89591,0.81562,0.81467,0.22285,0.83093,0.21536,0.0009035,0.0009035,0.0009035
16,1269.48,0.11529,1.05559,0.90488,0.53575,0.95651,0.78374,0.77828,0.22539,0.82872,0.21715,0.00087875,0.00087875,0.00087875
17,1345.68,0.11043,1.01651,0.90891,0.64643,0.85076,0.86258,0.83584,0.26166,0.77482,0.26437,0.000854,0.000854,0.000854
18,1422.26,0.10868,1.00984,0.90245,0.61502,0.92694,0.80488,0.79112,0.19425,0.79058,0.21,0.00082925,0.00082925,0.00082925
19,1496.61,0.09837,0.98635,0.89672,0.71354,0.90938,0.88931,0.88379,0.18087,0.66514,0.17322,0.0008045,0.0008045,0.0008045
20,1572.55,0.09586,0.9623,0.89873,0.57336,0.88225,0.8841,0.88355,0.16475,0.92663,0.17626,0.00077975,0.00077975,0.00077975
21,1649.65,0.09545,0.95337,0.89794,0.78521,0.8738,0.90649,0.90292,0.20206,0.61549,0.20392,0.000755,0.000755,0.000755
22,1729.44,0.09728,0.94157,0.89451,0.79535,0.86404,0.92813,0.92672,0.20571,0.71923,0.20263,0.00073025,0.00073025,0.00073025
