epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9971,0.30123,2.27843,1.05286,0.22568,0.88889,0.35319,0.32228,0.38466,1.98959,0.55471,0.000414815,0.000414815,0.000414815
2,121.971,0.19996,1.66349,0.95278,0.36654,0.78966,0.51126,0.43395,0.56437,1.58097,0.80774,0.000815018,0.000815018,0.000815018
3,182.295,0.19694,1.47531,0.94921,0.35048,0.88869,0.53646,0.51672,0.24717,1.41868,0.41153,0.00119872,0.00119872,0.00119872
4,242.494,0.1859,1.3937,0.94101,0.40501,0.87405,0.55069,0.54963,0.21974,1.22614,0.34208,0.00117575,0.00117575,0.00117575
5,295.671,0.16921,1.32366,0.93238,0.38731,0.91676,0.55425,0.55361,0.27821,1.16162,0.40891,0.001151,0.001151,0.001151
6,355.142,0.14792,1.26508,0.91633,0.45823,0.89223,0.63789,0.63555,0.1699,1.00041,0.25063,0.00112625,0.00112625,0.00112625
7,421.768,0.14315,1.21057,0.9273,0.43496,0.89206,0.64729,0.64729,0.18612,1.01604,0.28474,0.0011015,0.0011015,0.0011015
8,485.634,0.14072,1.16606,0.92035,0.49548,0.85509,0.66643,0.65167,0.24495,0.95443,0.36274,0.00107675,0.00107675,0.00107675
9,543.175,0.13355,1.13533,0.91946,0.52707,0.88871,0.72003,0.71952,0.25961,0.87955,0.37584,0.001052,0.001052,0.001052
10,610.07,0.12923,1.11823,0.91367,0.51398,0.91754,0.71775,0.71608,0.18838,0.85888,0.26516,0.00102725,0.00102725,0.00102725
11,670.495,0.11817,1.08166,0.91079,0.56775,0.8581,0.73554,0.71873,0.25349,0.92786,0.33101,0.0010025,0.0010025,0.0010025
12,731.358,0.11781,1.05722,0.91492,0.58272,0.90883,0.78483,0.77408,0.25319,0.77432,0.3702,0.00097775,0.00097775,0.00097775
13,783.499,0.11698,1.01783,0.91514,0.48087,0.82535,0.7702,0.76979,0.17647,1.15151,0.26399,0.000953,0.000953,0.000953
14,850.203,0.10322,1.02828,0.90742,0.58228,0.88745,0.81678,0.80498,0.22799,0.87611,0.34391,0.00092825,0.00092825,0.00092825
15,913.172,0.10334,0.9965,0.906,0.63184,0.91218,0.82224,0.80431,0.22667,0.73657,0.32456,0.0009035,0.0009035,0.0009035
16,970.981,0.09848,0.99427,0.91611,0.6554,0.89393,0.81511,0.81455,0.16543,0.6577,0.244,0.00087875,0.00087875,0.00087875
17,1026.94,0.09834,0.94896,0.90184,0.70566,0.84071,0.87231,0.85034,0.26598,0.80365,0.37996,0.000854,0.000854,0.000854
18,1088.82,0.10572,0.94225,0.92111,0.69513,0.78646,0.87339,0.84051,0.24175,0.771,0.36052,0.00082925,0.00082925,0.00082925
19,1148.29,0.09582,0.93443,0.90132,0.7768,0.86886,0.89198,0.85793,0.24987,0.67153,0.36775,0.0008045,0.0008045,0.0008045
20,1209.06,0.09046,0.91941,0.90257,0.81273,0.84714,0.90821,0.89015,0.19708,0.65759,0.27683,0.00077975,0.00077975,0.00077975
21,1277.82,0.08821,0.91103,0.90781,0.7608,0.87544,0.91002,0.90301,0.21649,0.64225,0.30274,0.000755,0.000755,0.000755
22,1346.01,0.08611,0.87,0.89907,0.83419,0.86989,0.93343,0.92316,0.23679,0.61054,0.34116,0.00073025,0.00073025,0.00073025
23,1411.3,0.08537,0.84135,0.89755,0.82925,0.89694,0.96776,0.96296,0.20089,0.54895,0.28638,0.0007055,0.0007055,0.0007055
24,1476.28,0.08944,0.82526,0.90463,0.88661,0.90776,0.96377,0.91235,0.26505,0.57275,0.37447,0.00068075,0.00068075,0.00068075
25,1532.84,0.0857,0.8275,0.89915,0.91721,0.92845,0.96665,0.9424,0.23522,0.49382,0.35711,0.000656,0.000656,0.000656
26,1586.15,0.07979,0.79044,0.89761,0.91604,0.89119,0.96431,0.95319,0.23228,0.54222,0.34676,0.00063125,0.00063125,0.00063125
27,1641.63,0.078,0.80321,0.89263,0.85113,0.89008,0.95451,0.91276,0.24864,0.6217,0.34276,0.0006065,0.0006065,0.0006065
28,1709.07,0.07823,0.76977,0.9012,0.91316,0.94806,0.97522,0.9571,0.24099,0.44081,0.35384,0.00058175,0.00058175,0.00058175
29,1769.91,0.07753,0.76977,0.89061,0.87908,0.92545,0.97117,0.97117,0.18505,0.48852,0.26128,0.000557,0.000557,0.000557
30,1840.82,0.07011,0.75646,0.89928,0.9296,0.92464,0.98289,0.98227,0.19793,0.43587,0.27159,0.00053225,0.00053225,0.00053225
31,1908.84,0.06689,0.71744,0.89816,0.93849,0.93576,0.97557,0.97366,0.20997,0.4815,0.30501,0.0005075,0.0005075,0.0005075
32,1977.23,0.06449,0.73961,0.90092,0.91632,0.86901,0.96224,0.96038,0.20467,0.57496,0.29101,0.00048275,0.00048275,0.00048275
33,2049.97,0.06567,0.70133,0.90335,0.91344,0.92844,0.98325,0.98325,0.19531,0.45762,0.26037,0.000458,0.000458,0.000458
34,2116.26,0.06233,0.70864,0.89329,0.89586,0.88325,0.97205,0.95217,0.22028,0.57412,0.29268,0.00043325,0.00043325,0.00043325
35,2182.61,0.06078,0.69807,0.89296,0.93374,0.95279,0.98528,0.9848,0.19027,0.44633,0.26215,0.0004085,0.0004085,0.0004085
36,2667.89,0.06253,0.68969,0.88916,0.88985,0.98176,0.98073,0.97955,0.20667,0.42224,0.27743,0.00038375,0.00038375,0.00038375
37,2731.82,0.06051,0.69828,0.8937,0.96871,0.91725,0.98096,0.97795,0.21485,0.41092,0.30348,0.000359,0.000359,0.000359
38,2793.62,0.0629,0.66173,0.88645,0.94278,0.95625,0.98631,0.98558,0.19722,0.36805,0.27771,0.00033425,0.00033425,0.00033425
39,2859.67,0.05667,0.6301,0.90092,0.9603,0.93557,0.98368,0.98368,0.13953,0.32467,0.19944,0.0003095,0.0003095,0.0003095
40,2924.95,0.06335,0.64676,0.90965,0.94552,0.96375,0.98188,0.98127,0.20346,0.41248,0.27141,0.00028475,0.00028475,0.00028475
41,2988.81,0.06112,0.36987,0.90802,0.89897,0.98997,0.98659,0.98659,0.17164,0.4028,0.23463,0.00026,0.00026,0.00026
42,3052.18,0.05531,0.27271,0.90671,0.93908,0.98605,0.99047,0.99047,0.15725,0.35251,0.21154,0.00023525,0.00023525,0.00023525
43,3114.75,0.04738,0.25267,0.89387,0.96009,0.93806,0.99018,0.99018,0.17045,0.37395,0.23313,0.0002105,0.0002105,0.0002105
44,3178.02,0.04533,0.22372,0.89757,0.94419,0.94221,0.98647,0.98647,0.17288,0.42789,0.23186,0.00018575,0.00018575,0.00018575
45,3241.86,0.03915,0.21706,0.90515,0.98223,0.96156,0.99243,0.99243,0.18612,0.33214,0.25537,0.000161,0.000161,0.000161
46,3297.75,0.03794,0.20065,0.90057,0.9853,0.93828,0.99335,0.99335,0.17649,0.35756,0.24248,0.00013625,0.00013625,0.00013625
47,3356.2,0.03593,0.17582,0.90131,0.97283,0.9582,0.99045,0.99045,0.18464,0.39642,0.25451,0.0001115,0.0001115,0.0001115
48,3420.39,0.03437,0.16983,0.90251,0.95631,0.96479,0.98997,0.98997,0.17782,0.38446,0.24193,8.675e-05,8.675e-05,8.675e-05
49,3482.99,0.03254,0.15479,0.89725,0.95503,0.95812,0.99069,0.99069,0.18408,0.41048,0.2493,6.2e-05,6.2e-05,6.2e-05
50,3536.57,0.03322,0.15617,0.89024,0.97728,0.96293,0.98888,0.98888,0.18536,0.39507,0.2536,3.725e-05,3.725e-05,3.725e-05
