epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2492,0.54527,2.24789,1.13347,0.64717,0.85715,0.78907,0.72682,0.34484,3.24848,0.56863,0.000415682,0.000415682,0.000415682
2,144.007,0.44651,1.44304,1.05108,0.84878,0.87908,0.92231,0.85296,0.29288,1.39448,0.4951,0.000815868,0.000815868,0.000815868
3,213.628,0.44711,1.31279,1.0242,0.80483,0.8541,0.94908,0.90315,0.29328,0.89872,0.49312,0.00119955,0.00119955,0.00119955
4,289.486,0.39198,1.16006,1.00632,0.9094,0.9304,0.97234,0.94549,0.27979,0.74337,0.494,0.00117575,0.00117575,0.00117575
5,364.576,0.39685,1.04292,1.00619,0.89704,0.91097,0.9603,0.87751,0.41506,0.74063,0.57499,0.001151,0.001151,0.001151
6,439.865,0.35569,0.95528,0.98413,0.98594,0.96308,0.99319,0.92713,0.34012,0.5126,0.52291,0.00112625,0.00112625,0.00112625
7,515.527,0.34201,0.89574,0.97899,0.93869,0.9589,0.99398,0.97631,0.25872,0.52314,0.46196,0.0011015,0.0011015,0.0011015
8,590.367,0.32976,0.91962,0.97159,0.96262,0.97433,0.99144,0.97742,0.21404,0.56432,0.44178,0.00107675,0.00107675,0.00107675
9,668.988,0.32814,0.96028,0.97509,0.93826,0.94623,0.99165,0.96491,0.2706,0.70302,0.48183,0.001052,0.001052,0.001052
10,751.077,0.29349,0.84431,0.96969,0.97781,0.96605,0.99453,0.98821,0.23129,0.4886,0.44947,0.00102725,0.00102725,0.00102725
11,832.229,0.27949,0.77541,0.95231,0.95993,0.93786,0.98789,0.97781,0.21714,0.46617,0.45326,0.0010025,0.0010025,0.0010025
12,910.127,0.25373,0.75812,0.94301,0.97887,0.96787,0.99438,0.96094,0.34018,0.48848,0.53028,0.00097775,0.00097775,0.00097775
13,984.16,0.26328,0.69954,0.94901,0.95518,0.99152,0.9919,0.97225,0.31523,0.42995,0.50708,0.000953,0.000953,0.000953
14,1058.13,0.24085,0.6397,0.94061,0.99439,0.98584,0.99487,0.98579,0.23424,0.40484,0.45935,0.00092825,0.00092825,0.00092825
15,1133.12,0.25729,0.64867,0.95054,0.96853,0.95934,0.99407,0.979,0.26012,0.42913,0.46784,0.0009035,0.0009035,0.0009035
16,1207.37,0.2542,0.69193,0.94782,0.96333,0.97278,0.99377,0.97626,0.2898,0.41122,0.48031,0.00087875,0.00087875,0.00087875
17,1285.12,0.23108,0.64898,0.93409,0.97959,0.99083,0.99362,0.98389,0.29169,0.39546,0.49306,0.000854,0.000854,0.000854
18,1361.16,0.22361,0.57527,0.93032,0.98618,0.99234,0.99491,0.99369,0.20342,0.31942,0.42921,0.00082925,0.00082925,0.00082925
19,1436.66,0.22902,0.54822,0.9306,0.95382,0.98132,0.9946,0.9691,0.30011,0.42426,0.48869,0.0008045,0.0008045,0.0008045
20,1512.22,0.22655,0.58485,0.93853,0.98916,0.98495,0.99459,0.98441,0.2315,0.33877,0.44545,0.00077975,0.00077975,0.00077975
21,1587.53,0.20379,0.51167,0.91845,0.99888,0.98991,0.995,0.98821,0.22263,0.3126,0.43536,0.000755,0.000755,0.000755
22,1668.08,0.2058,0.50936,0.93399,0.98452,0.99078,0.99478,0.97911,0.21767,0.35212,0.43348,0.00073025,0.00073025,0.00073025
23,1743.74,0.18773,0.50435,0.91647,0.96637,0.98664,0.9939,0.98629,0.23682,0.36583,0.45072,0.0007055,0.0007055,0.0007055
24,1820.24,0.2142,0.52825,0.93139,0.93109,0.96252,0.97955,0.95396,0.31525,0.47184,0.48944,0.00068075,0.00068075,0.00068075
25,1895.91,0.20282,0.49571,0.93056,0.97861,0.99444,0.99473,0.97414,0.28612,0.37066,0.48525,0.000656,0.000656,0.000656
26,1972.28,0.19062,0.46204,0.91993,0.98599,0.99545,0.99496,0.98241,0.23622,0.41036,0.46839,0.00063125,0.00063125,0.00063125
27,2049.51,0.18958,0.46866,0.92704,0.98353,0.98541,0.99395,0.99034,0.22969,0.3828,0.45405,0.0006065,0.0006065,0.0006065
28,2117.22,0.17988,0.45101,0.91011,0.98001,0.97812,0.99199,0.98566,0.25305,0.38626,0.4567,0.00058175,0.00058175,0.00058175
29,3795.7,0.17652,0.42773,0.92348,0.98682,0.97336,0.99147,0.97708,0.24696,0.37204,0.45928,0.000557,0.000557,0.000557
30,3857.33,0.1719,0.44329,0.91111,0.99357,0.98384,0.99478,0.97896,0.25232,0.35917,0.45619,0.00053225,0.00053225,0.00053225
31,3915.79,0.16845,0.43061,0.91824,0.98158,0.98506,0.98935,0.98837,0.225,0.3667,0.43613,0.0005075,0.0005075,0.0005075
32,3974.27,0.16914,0.42977,0.90645,0.98655,0.98504,0.9943,0.98341,0.22905,0.37891,0.44014,0.00048275,0.00048275,0.00048275
33,4033.92,0.17028,0.42049,0.91888,0.997,1,0.995,0.9877,0.20505,0.29897,0.42301,0.000458,0.000458,0.000458
34,4092.99,0.15881,0.38347,0.90368,0.99465,0.99767,0.995,0.98538,0.19343,0.27752,0.41024,0.00043325,0.00043325,0.00043325
35,4152.95,0.15696,0.39137,0.91427,0.99041,0.9962,0.99487,0.99079,0.19114,0.28719,0.40495,0.0004085,0.0004085,0.0004085
36,5483.17,0.15682,0.37394,0.91453,0.98991,0.99538,0.99487,0.99056,0.21242,0.32057,0.42902,0.00038375,0.00038375,0.00038375
37,5549.15,0.1491,0.35822,0.90492,0.99143,0.98981,0.99449,0.97785,0.22441,0.34154,0.43096,0.000359,0.000359,0.000359
38,5609.46,0.14404,0.36591,0.90662,0.99033,0.99091,0.99487,0.9922,0.19753,0.33534,0.41245,0.00033425,0.00033425,0.00033425
39,5848.08,0.14482,0.36626,0.91488,0.90962,0.9551,0.96952,0.96387,0.19416,0.43017,0.4072,0.0003095,0.0003095,0.0003095
40,5905.52,0.14769,0.36564,0.91626,0.97798,0.98736,0.99423,0.99116,0.19375,0.34113,0.4097,0.00028475,0.00028475,0.00028475
41,5960.73,0.08775,0.24502,0.8646,0.99212,0.99919,0.99449,0.99408,0.13499,0.3157,0.35194,0.00026,0.00026,0.00026
42,6016.3,0.08467,0.1847,0.86665,0.9903,0.99352,0.99409,0.99409,0.15395,0.29611,0.36933,0.00023525,0.00023525,0.00023525
43,7357.01,0.07354,0.17106,0.85128,0.98293,0.99745,0.99466,0.99401,0.15642,0.27241,0.37434,0.0002105,0.0002105,0.0002105
44,7427.77,0.0653,0.1522,0.86305,0.99579,0.9996,0.995,0.995,0.14935,0.23475,0.36974,0.00018575,0.00018575,0.00018575
45,7701.68,0.06038,0.15021,0.85929,0.98497,1,0.99438,0.99438,0.15062,0.22703,0.37557,0.000161,0.000161,0.000161
46,8698.57,0.0537,0.12886,0.86491,0.99648,0.99915,0.995,0.995,0.14169,0.22092,0.36743,0.00013625,0.00013625,0.00013625
47,8755.66,0.05288,0.12947,0.86481,0.99595,0.99968,0.995,0.995,0.15027,0.21835,0.37056,0.0001115,0.0001115,0.0001115
48,8811.4,0.05176,0.11691,0.85185,0.99416,0.99916,0.995,0.995,0.15063,0.2083,0.37284,8.675e-05,8.675e-05,8.675e-05
49,9996.85,0.0473,0.10315,0.86339,0.99629,0.99675,0.995,0.99464,0.1397,0.20735,0.36699,6.2e-05,6.2e-05,6.2e-05
50,10055.4,0.04533,0.10492,0.86744,0.99763,1,0.995,0.995,0.14864,0.20561,0.37155,3.725e-05,3.725e-05,3.725e-05
