epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4233,0.49801,2.21193,1.18969,0.64638,0.81091,0.7801,0.6749,0.40562,2.08754,0.77716,0.000414863,0.000414863,0.000414863
2,144.331,0.3633,1.35233,1.07647,0.69212,0.87602,0.9097,0.7428,0.57912,1.53327,0.84276,0.000815065,0.000815065,0.000815065
3,208.449,0.36242,1.22865,1.06339,0.85706,0.85687,0.93505,0.89941,0.33454,1.02728,0.63547,0.00119877,0.00119877,0.00119877
4,274.686,0.3525,1.14107,1.05565,0.92161,0.94669,0.97301,0.90348,0.4146,0.94476,0.72518,0.00117575,0.00117575,0.00117575
5,337.39,0.32636,1.00924,1.02452,0.87697,0.82556,0.93546,0.89296,0.29265,0.83751,0.57675,0.001151,0.001151,0.001151
6,409.724,0.28936,0.99708,1.00315,0.97612,0.97822,0.99051,0.98282,0.27419,0.58421,0.57932,0.00112625,0.00112625,0.00112625
7,479.732,0.28376,0.92292,1.00149,0.94868,0.91952,0.97392,0.92401,0.34746,0.73653,0.607,0.0011015,0.0011015,0.0011015
8,552.214,0.26126,0.8071,0.97778,0.95876,0.96731,0.987,0.97226,0.26671,0.52555,0.57694,0.00107675,0.00107675,0.00107675
9,620.723,0.2607,0.80905,1.00373,0.91391,0.97124,0.98324,0.94756,0.31841,0.59744,0.61232,0.001052,0.001052,0.001052
10,688.789,0.24183,0.71744,0.9723,0.96438,0.95585,0.97861,0.97372,0.24211,0.49943,0.49987,0.00102725,0.00102725,0.00102725
11,754.777,0.23397,0.72056,0.97419,0.95976,0.96981,0.9829,0.98092,0.22214,0.41785,0.49585,0.0010025,0.0010025,0.0010025
12,821.685,0.2274,0.72677,0.9756,0.94666,0.9551,0.97644,0.96005,0.25696,0.46524,0.54986,0.00097775,0.00097775,0.00097775
13,889.442,0.20705,0.65293,0.9535,0.97276,0.98661,0.99318,0.98384,0.22111,0.43198,0.49462,0.000953,0.000953,0.000953
14,956.116,0.18943,0.62651,0.94949,0.97308,0.98264,0.99031,0.98133,0.22457,0.35764,0.4939,0.00092825,0.00092825,0.00092825
15,1020.86,0.19768,0.62542,0.95483,0.98317,0.97119,0.98781,0.97137,0.24568,0.46344,0.50958,0.0009035,0.0009035,0.0009035
16,1087.61,0.19509,0.59327,0.95599,0.9616,0.95431,0.985,0.985,0.2021,0.36112,0.46584,0.00087875,0.00087875,0.00087875
17,1155.61,0.18844,0.56691,0.95265,0.95421,0.9559,0.9853,0.94408,0.35245,0.45755,0.65923,0.000854,0.000854,0.000854
18,1223.12,0.18817,0.55698,0.95219,0.98279,0.98347,0.98024,0.97979,0.23871,0.35878,0.52814,0.00082925,0.00082925,0.00082925
19,1290.71,0.18228,0.54586,0.9399,0.97847,0.96625,0.99076,0.98925,0.22371,0.33787,0.49194,0.0008045,0.0008045,0.0008045
20,1356.57,0.1746,0.51958,0.94178,0.98833,0.9857,0.99464,0.9889,0.26863,0.298,0.54116,0.00077975,0.00077975,0.00077975
21,1423,0.16051,0.47776,0.92894,0.97454,0.97956,0.99391,0.98919,0.22404,0.36296,0.50094,0.000755,0.000755,0.000755
22,1490.32,0.18548,0.52589,0.95363,0.98389,0.9877,0.99083,0.9766,0.22294,0.31838,0.50488,0.00073025,0.00073025,0.00073025
23,1556.84,0.1618,0.47115,0.92898,0.97813,0.98296,0.99189,0.98734,0.20534,0.34098,0.4878,0.0007055,0.0007055,0.0007055
24,1624.12,0.16742,0.4846,0.93134,0.98214,0.98347,0.99229,0.99029,0.21367,0.30202,0.4812,0.00068075,0.00068075,0.00068075
25,1690.38,0.1552,0.45525,0.92783,0.95965,0.97601,0.98951,0.97793,0.20869,0.32136,0.48277,0.000656,0.000656,0.000656
26,1757.1,0.15669,0.48486,0.94518,0.98874,0.98868,0.99476,0.9866,0.21548,0.30573,0.48888,0.00063125,0.00063125,0.00063125
27,1824.73,0.15929,0.46972,0.93829,0.95841,0.99018,0.99087,0.98411,0.23658,0.36872,0.49991,0.0006065,0.0006065,0.0006065
28,1891.76,0.13818,0.44693,0.91428,0.95509,0.94089,0.98548,0.97471,0.22105,0.43377,0.50157,0.00058175,0.00058175,0.00058175
29,1959.02,0.13647,0.42584,0.91732,0.98094,0.98886,0.99452,0.99337,0.21171,0.31696,0.50373,0.000557,0.000557,0.000557
30,2026.15,0.14219,0.43055,0.92291,0.98154,0.98659,0.98512,0.98512,0.20341,0.32062,0.49614,0.00053225,0.00053225,0.00053225
31,2095.94,0.12963,0.42102,0.91782,0.95974,0.9958,0.98986,0.98944,0.21024,0.2902,0.48997,0.0005075,0.0005075,0.0005075
32,2162.53,0.1328,0.4169,0.91657,0.97691,0.98279,0.99452,0.99169,0.19161,0.29849,0.46364,0.00048275,0.00048275,0.00048275
33,2227.21,0.12117,0.37143,0.9093,0.98853,0.99344,0.99456,0.99042,0.18318,0.27824,0.44788,0.000458,0.000458,0.000458
34,2282.93,0.12511,0.37653,0.92334,0.99348,1,0.99337,0.97963,0.20456,0.27454,0.47799,0.00043325,0.00043325,0.00043325
35,2337.81,0.12151,0.37646,0.9179,0.98199,0.97445,0.99019,0.98634,0.19261,0.30047,0.47062,0.0004085,0.0004085,0.0004085
36,5082.42,0.11909,0.36808,0.90893,0.98848,0.99506,0.99361,0.99084,0.19704,0.26091,0.47527,0.00038375,0.00038375,0.00038375
37,5135.59,0.11698,0.35139,0.90664,0.99393,1,0.99468,0.9913,0.1754,0.30815,0.44516,0.000359,0.000359,0.000359
38,5185.79,0.11392,0.33479,0.90461,0.98877,0.9909,0.9946,0.99292,0.16145,0.27919,0.43294,0.00033425,0.00033425,0.00033425
39,5344.12,0.10831,0.33847,0.90669,0.98963,0.98363,0.99496,0.99237,0.16278,0.29161,0.43976,0.0003095,0.0003095,0.0003095
40,5402.54,0.10404,0.31632,0.90149,0.99093,0.99854,0.99496,0.99055,0.15842,0.25466,0.43376,0.00028475,0.00028475,0.00028475
41,5451.64,0.08026,0.24897,0.881,0.9873,0.99579,0.995,0.995,0.15562,0.30024,0.41623,0.00026,0.00026,0.00026
42,5499.71,0.06536,0.16257,0.8717,0.99539,0.99867,0.995,0.995,0.15837,0.27159,0.4212,0.00023525,0.00023525,0.00023525
43,5548.34,0.06181,0.14932,0.87696,0.99777,0.99379,0.995,0.995,0.13302,0.26452,0.39378,0.0002105,0.0002105,0.0002105
44,5675.98,0.05657,0.13957,0.87658,0.99595,0.98465,0.995,0.995,0.12701,0.2558,0.39165,0.00018575,0.00018575,0.00018575
45,6711.96,0.06034,0.14126,0.87254,0.99295,1,0.995,0.995,0.12716,0.24533,0.39739,0.000161,0.000161,0.000161
46,6764.12,0.05001,0.11901,0.86534,0.98992,0.99493,0.99475,0.99475,0.14165,0.24046,0.41909,0.00013625,0.00013625,0.00013625
47,6816.09,0.05024,0.10418,0.85763,0.99225,0.99463,0.995,0.995,0.15064,0.26591,0.42606,0.0001115,0.0001115,0.0001115
48,6864.99,0.04756,0.10614,0.8623,0.99592,0.99618,0.995,0.99416,0.13975,0.25172,0.41162,8.675e-05,8.675e-05,8.675e-05
49,6912.08,0.04321,0.09653,0.86613,0.99669,0.99481,0.995,0.9923,0.1321,0.24762,0.40597,6.2e-05,6.2e-05,6.2e-05
